iter	Passed	Remaining
0	58	58876
1	59	29523
2	59	19735
3	59	14844
4	59	11905
5	60	9945
6	60	8548
7	60	7498
8	60	6682
9	60	6034
10	61	5504
11	61	5059
12	61	4685
13	61	4363
14	62	4080
15	62	3833
16	62	3616
17	62	3423
18	62	3250
19	63	3095
20	63	2954
21	63	2825
22	63	2709
23	63	2601
24	64	2502
25	64	2412
26	64	2328
27	64	2249
28	65	2176
29	65	2108
30	65	2043
31	65	1983
32	65	1927
33	66	1875
34	66	1825
35	66	1779
36	66	1736
37	66	1693
38	67	1653
39	67	1614
40	67	1578
41	67	1543
42	67	1510
43	68	1478
44	68	1448
45	68	1420
46	68	1392
47	68	1366
48	69	1340
49	69	1316
50	69	1292
51	69	1270
52	69	1248
53	70	1227
54	70	1207
55	70	1187
56	70	1169
57	70	1152
58	71	1135
59	71	1117
60	71	1101
61	71	1085
62	71	1070
63	72	1055
64	72	1041
65	72	1027
66	72	1013
67	72	998
68	73	985
69	73	973
70	73	961
71	73	949
72	73	937
73	74	926
74	74	915
75	74	904
76	74	894
77	74	884
78	75	874
79	75	864
80	75	855
81	75	846
82	75	837
83	75	828
84	76	819
85	76	811
86	76	801
87	76	793
88	76	786
89	77	778
90	77	771
91	77	763
92	77	756
93	77	749
94	77	742
95	78	736
96	78	729
97	78	723
98	78	717
99	78	710
100	79	705
101	79	697
102	79	692
103	79	686
104	79	681
105	80	675
106	80	670
107	80	665
108	80	659
109	80	654
110	81	649
111	81	645
112	81	641
113	82	637
114	82	632
115	82	627
116	82	622
117	82	618
118	82	613
119	83	609
120	83	604
121	83	600
122	83	595
123	83	591
124	83	587
125	84	583
126	84	579
127	84	574
128	84	571
129	84	567
130	85	563
131	85	560
132	85	556
133	85	553
134	85	549
135	85	546
136	86	542
137	86	539
138	86	535
139	86	532
140	86	529
141	87	526
142	87	523
143	87	520
144	87	517
145	88	514
146	88	511
147	88	508
148	88	506
149	88	503
150	89	500
151	89	497
152	89	495
153	89	492
154	89	489
155	90	486
156	90	484
157	90	481
158	90	479
159	90	476
160	91	474
161	91	471
162	91	469
163	91	466
164	91	464
165	91	462
166	92	460
167	92	458
168	92	456
169	93	454
170	93	452
171	93	450
172	93	448
173	94	446
174	94	444
175	94	441
176	94	439
177	94	438
178	95	436
179	95	434
180	95	432
181	95	430
182	95	428
183	96	426
184	96	424
185	96	422
186	96	420
187	96	418
188	97	416
189	97	414
190	97	413
191	97	411
192	97	409
193	98	407
194	98	405
195	98	404
196	98	402
197	98	400
198	99	398
199	99	397
200	99	395
201	99	393
202	99	392
203	100	390
204	100	388
205	100	387
206	100	385
207	100	384
208	101	382
209	101	380
210	101	379
211	101	377
212	101	376
213	102	374
214	102	373
215	102	371
216	102	370
217	102	368
218	102	367
219	103	365
220	103	364
221	103	363
222	103	361
223	103	360
224	104	358
225	104	357
226	104	356
227	104	354
228	105	353
229	105	352
230	105	351
231	105	349
232	105	348
233	106	347
234	106	345
235	106	344
236	106	343
237	106	342
238	107	340
239	107	339
240	107	338
241	107	336
242	107	335
243	107	334
244	108	333
245	108	332
246	108	330
247	108	329
248	108	328
249	109	327
250	109	326
251	109	324
252	109	323
253	109	322
254	110	321
255	110	320
256	110	319
257	110	318
258	110	317
259	111	316
260	111	314
261	111	313
262	111	312
263	111	311
264	111	310
265	112	309
266	112	308
267	112	307
268	112	306
269	112	305
270	113	304
271	113	303
272	113	302
273	113	301
274	113	300
275	114	299
276	114	298
277	114	297
278	114	296
279	114	295
280	115	294
281	115	293
282	115	292
283	115	291
284	115	290
285	116	289
286	116	288
287	116	288
288	116	287
289	116	286
290	117	285
291	117	284
292	117	283
293	117	282
294	117	281
295	118	281
296	118	280
297	118	279
298	118	278
299	118	277
300	119	276
301	119	275
302	119	274
303	119	273
304	119	273
305	120	272
306	120	271
307	120	270
308	120	269
309	120	268
310	121	268
311	121	267
312	121	266
313	121	265
314	121	264
315	121	264
316	122	263
317	122	262
