iter	Passed	Remaining
0	57	57543
1	57	28877
2	58	19298
3	58	14510
4	58	11648
5	58	9729
6	58	8359
7	59	7332
8	59	6532
9	59	5891
10	59	5368
11	59	4931
12	60	4564
13	60	4247
14	60	3972
15	60	3732
16	60	3521
17	61	3332
18	61	3164
19	61	3012
20	61	2875
21	61	2750
22	62	2636
23	62	2532
24	62	2436
25	62	2347
26	62	2265
27	63	2189
28	63	2118
29	63	2052
30	63	1990
31	63	1932
32	64	1878
33	64	1826
34	64	1780
35	64	1736
36	65	1692
37	65	1652
38	65	1612
39	65	1576
40	65	1541
41	66	1508
42	66	1476
43	66	1446
44	66	1417
45	66	1389
46	67	1362
47	67	1337
48	67	1314
49	67	1291
50	68	1269
51	68	1247
52	68	1225
53	68	1204
54	68	1185
55	69	1167
56	69	1148
57	69	1130
58	69	1113
59	70	1097
60	70	1081
61	70	1066
62	70	1050
63	70	1036
64	71	1022
65	71	1008
66	71	995
67	71	982
68	71	969
69	72	957
70	72	945
71	72	934
72	72	922
73	72	912
74	73	901
75	73	890
76	73	881
77	73	871
78	73	862
79	74	852
80	74	844
81	74	836
82	74	826
83	74	817
84	75	809
85	75	801
86	75	793
87	75	785
88	75	777
89	76	770
90	76	763
91	76	755
92	76	748
93	77	742
94	77	735
95	77	729
96	77	722
97	77	716
98	78	709
99	78	703
100	78	697
101	78	692
102	78	686
103	79	680
104	79	675
105	79	669
106	79	664
107	79	659
108	80	653
109	80	649
110	80	644
111	80	640
112	80	635
113	81	630
114	81	625
115	81	621
116	81	616
117	81	612
118	82	608
119	82	604
120	82	600
121	82	595
122	82	591
123	83	587
124	83	583
125	83	579
126	83	574
127	83	571
128	84	567
129	84	563
130	84	559
131	84	556
132	84	552
133	84	549
134	85	545
135	85	542
136	85	538
137	85	535
138	85	532
139	86	528
140	86	525
141	86	521
142	86	518
143	86	515
144	86	512
145	87	509
146	87	506
147	87	503
148	87	500
149	87	497
150	87	494
151	88	491
152	88	489
153	88	486
154	88	483
155	88	480
156	89	478
157	89	475
158	89	472
159	89	470
160	89	467
161	89	465
162	90	462
163	90	460
164	90	457
165	90	455
166	90	452
167	90	450
168	91	448
169	92	450
170	92	448
171	92	446
172	92	444
173	93	442
174	93	440
175	95	444
176	95	445
177	95	443
178	96	441
179	96	441
180	97	439
181	97	437
182	97	435
183	97	433
184	97	431
185	98	429
186	98	427
187	98	425
188	98	423
189	98	421
190	99	419
191	99	418
192	99	417
193	100	416
194	101	417
195	102	421
196	104	424
197	104	424
198	105	424
199	106	424
200	106	423
201	106	421
202	107	420
203	108	422
204	108	421
205	108	419
206	109	417
207	109	416
208	109	415
209	113	428
210	114	429
211	115	429
212	116	428
213	116	427
214	116	425
215	117	428
216	118	428
217	119	428
218	119	426
219	119	425
220	120	423
221	120	421
222	120	419
223	120	418
224	120	416
225	121	414
226	121	412
227	121	411
228	121	409
229	121	407
230	122	406
231	122	404
232	122	403
233	122	401
234	122	399
235	123	398
236	123	396
237	123	395
238	123	393
239	123	391
240	123	390
241	124	388
242	124	387
243	124	386
244	125	385
245	125	384
246	125	383
247	125	381
248	126	380
249	126	379
250	126	378
251	127	379
252	128	378
253	128	378
254	129	377
255	129	376
256	129	375
257	130	374
258	130	373
259	130	372
260	131	371
261	131	370
262	132	371
263	132	370
264	133	369
265	133	368
266	133	367
267	134	366
268	134	365
269	135	365
270	135	364
271	135	362
272	135	361
273	136	360
274	136	359
275	136	358
276	137	357
277	137	357
278	137	355
279	137	354
280	138	353
281	138	352
282	138	351
283	139	350
284	139	349
285	139	349
286	140	347
287	140	346
288	140	345
289	140	344
290	141	343
291	141	342
292	141	341
293	141	340
294	142	340
295	143	340
296	143	340
297	144	339
298	144	338
299	144	338
300	145	337
301	145	336
302	146	337
303	147	336
304	147	335
305	147	334
306	147	333
307	147	332
308	148	331
309	148	330
310	148	330
311	149	329
312	150	329
313	150	328
314	150	327
315	150	326
316	151	325
317	151	325
318	152	324
319	152	323
320	152	322
321	152	321
322	153	320
323	153	320
324	153	319
325	154	318
326	154	317
327	154	316
328	154	315
329	155	315
330	155	314
331	155	313
332	156	312
333	156	311
334	156	311
335	157	310
336	157	309
337	157	308
338	158	308
339	158	307
340	158	306
341	159	306
342	159	306
343	160	305
344	160	305
345	161	304
346	161	303
347	161	303
348	162	302
349	162	301
350	162	300
351	163	300
352	163	299
353	163	298
354	164	298
355	164	297
356	164	296
357	164	295
358	165	294
359	165	294
360	165	293
361	165	292
362	166	291
363	166	290
364	166	289
365	166	288
366	166	288
367	167	287
368	167	286
369	167	285
370	168	284
371	168	284
372	168	283
373	168	282
374	168	281
375	169	280
376	169	279
377	169	279
378	169	278
379	170	277
380	170	276
381	170	276
382	170	275
383	171	274
384	171	273
385	171	273
386	172	272
387	172	271
388	172	271
389	173	270
390	173	270
391	173	269
392	174	268
393	174	268
394	174	267
395	175	267
396	175	266
397	175	265
398	176	265
399	176	264
400	176	263
401	176	263
402	177	262
403	177	261
404	177	261
405	178	260
406	178	259
407	178	259
408	178	258
409	179	257
410	179	257
411	179	256
412	179	255
413	180	255
414	180	254
415	180	253
416	181	253
417	181	252
418	181	251
419	181	251
420	182	250
421	182	249
422	182	249
423	183	248
424	183	248
425	183	247
426	184	247
427	184	246
428	184	246
429	185	246
430	186	246
431	186	245
432	187	244
433	187	244
434	187	243
435	187	243
436	188	242
437	188	242
438	189	241
439	189	241
440	189	240
441	189	239
442	190	239
443	190	238
444	190	237
445	191	237
446	191	236
447	191	236
448	192	236
449	192	235
450	192	234
451	193	234
452	193	233
453	193	233
454	194	232
455	194	232
456	194	231
457	195	231
458	195	230
459	195	229
460	196	229
461	196	228
462	196	228
463	197	227
464	197	227
465	197	226
466	197	225
467	198	225
468	198	225
469	199	224
470	199	224
471	199	223
472	200	222
473	200	222
474	200	221
475	200	221
476	201	220
477	201	220
478	202	219
479	202	219
480	202	218
481	203	218
482	203	218
483	204	217
484	204	217
485	204	216
486	205	216
487	205	215
488	206	215
489	206	214
490	206	214
491	207	213
492	207	213
493	207	212
494	207	212
495	208	211
496	208	211
497	208	210
498	209	210
499	209	209
500	209	208
501	210	208
502	210	208
503	211	207
504	211	207
505	211	206
506	211	205
507	212	205
508	212	204
509	213	205
510	214	204
511	214	204
512	214	203
513	214	203
514	215	202
515	215	202
516	215	201
517	215	200
518	216	200
519	216	199
520	216	199
521	216	198
522	217	198
523	217	197
524	217	196
525	217	196
526	218	195
527	218	195
528	218	194
529	218	194
530	219	193
531	219	192
532	219	192
533	219	191
534	219	191
535	220	190
536	220	190
537	220	189
538	221	189
539	221	188
540	221	187
541	221	187
542	221	186
543	222	186
544	222	185
545	222	184
546	222	184
547	222	183
548	223	183
549	223	182
550	223	182
551	223	181
552	223	180
553	224	180
554	224	179
555	224	179
556	224	178
557	224	178
558	225	177
559	225	176
560	225	176
561	225	175
562	225	175
563	226	174
564	226	174
565	226	173
566	226	173
567	226	172
568	227	171
569	227	171
570	227	170
571	227	170
572	227	169
573	228	169
574	228	168
575	228	168
576	229	167
577	229	167
578	229	166
579	229	166
580	230	165
581	230	165
582	230	164
583	230	164
584	231	163
585	231	163
586	231	162
587	231	162
588	231	161
589	232	161
590	232	160
591	232	160
592	232	159
593	232	159
594	233	158
595	233	158
596	233	157
597	233	157
598	234	156
599	234	156
600	234	155
601	234	155
602	235	154
603	235	154
604	235	153
605	235	153
606	235	152
607	236	152
608	236	151
609	236	151
610	236	150
611	236	150
612	237	149
613	237	149
614	237	148
615	237	148
616	237	147
617	238	147
618	238	146
619	238	146
620	238	145
621	238	145
622	239	144
623	239	144
624	239	143
625	239	143
626	239	142
627	240	142
628	240	141
629	240	141
630	240	140
631	240	140
632	241	139
633	241	139
634	241	138
635	241	138
636	241	137
637	242	137
638	242	137
639	242	136
640	243	136
641	243	135
642	243	135
643	243	134
644	244	134
645	244	133
646	244	133
647	244	132
648	244	132
649	245	132
650	245	131
651	245	131
652	245	130
653	245	130
654	246	129
655	246	129
656	246	128
657	246	128
658	246	127
659	247	127
660	247	126
661	247	126
662	247	125
663	248	125
664	248	125
665	248	124
666	248	124
667	248	123
668	249	123
669	249	122
670	249	122
671	249	122
672	250	121
673	250	121
674	250	120
675	250	120
676	251	119
677	251	119
678	251	118
679	251	118
680	252	118
681	252	117
682	252	117
683	252	116
684	253	116
685	253	115
686	253	115
687	253	115
688	254	114
689	254	114
690	254	113
691	254	113
692	254	112
693	255	112
694	255	112
695	255	111
696	255	111
697	256	110
698	256	110
699	256	110
700	256	109
701	257	109
702	257	108
703	257	108
704	258	107
705	258	107
706	258	107
707	258	106
708	258	106
709	259	105
710	259	105
711	259	104
712	259	104
713	259	104
714	260	103
715	260	103
716	260	102
717	260	102
718	260	101
719	261	101
720	261	101
721	261	100
722	261	100
723	261	99
724	262	99
725	262	98
726	262	98
727	262	98
728	262	97
729	262	97
730	263	96
731	263	96
732	263	95
733	263	95
734	263	95
735	264	94
736	264	94
737	264	93
738	264	93
739	265	93
740	265	92
741	265	92
742	266	92
743	266	91
744	266	91
745	266	90
746	267	90
747	267	90
748	267	89
749	267	89
750	268	88
751	268	88
752	268	88
753	268	87
754	268	87
755	269	86
756	269	86
757	269	86
758	269	85
759	270	85
760	270	84
761	270	84
762	270	84
763	270	83
764	271	83
765	271	82
766	271	82
767	271	82
768	272	81
769	272	81
770	272	80
771	272	80
772	272	80
773	272	79
774	273	79
775	273	78
776	273	78
777	273	78
778	274	77
779	274	77
780	274	76
781	274	76
782	274	76
783	275	75
784	275	75
785	275	75
786	275	74
787	275	74
788	276	73
789	276	73
790	276	73
791	276	72
792	277	72
793	277	71
794	277	71
795	277	71
796	277	70
797	278	70
798	278	69
799	278	69
800	278	69
801	278	68
802	279	68
803	279	68
804	279	67
805	279	67
806	280	67
807	280	66
808	280	66
809	280	65
810	281	65
811	281	65
812	281	64
813	281	64
814	282	64
815	282	63
816	282	63
817	282	62
818	282	62
819	283	62
820	283	61
821	283	61
822	283	61
823	283	60
824	284	60
825	284	59
826	284	59
827	284	59
828	284	58
829	285	58
830	285	58
831	285	57
832	285	57
833	285	56
834	286	56
835	286	56
836	286	55
837	286	55
838	287	55
839	287	54
840	287	54
841	287	54
842	287	53
843	288	53
844	288	52
845	288	52
846	288	52
847	288	51
848	289	51
849	289	51
850	289	50
851	289	50
852	289	49
853	290	49
854	290	49
855	290	48
856	290	48
857	290	48
858	291	47
859	291	47
860	291	47
861	291	46
862	291	46
863	292	45
864	292	45
865	292	45
866	292	44
867	292	44
868	293	44
869	293	43
870	293	43
871	293	43
872	294	42
873	294	42
874	294	42
875	294	41
876	294	41
877	295	41
878	295	40
879	295	40
880	295	39
881	296	39
882	296	39
883	296	38
884	296	38
885	296	38
886	297	37
887	297	37
888	297	37
889	297	36
890	298	36
891	298	36
892	298	35
893	298	35
894	298	35
895	299	34
896	299	34
897	299	34
898	299	33
899	299	33
900	300	32
901	300	32
902	300	32
903	300	31
904	300	31
905	301	31
906	301	30
907	301	30
908	301	30
909	301	29
910	302	29
911	302	29
912	302	28
913	302	28
914	302	28
915	303	27
916	303	27
917	303	27
918	303	26
919	303	26
920	304	26
921	304	25
922	304	25
923	304	25
924	304	24
925	304	24
926	305	24
927	305	23
928	305	23
929	305	23
930	305	22
931	306	22
932	306	22
933	306	21
934	306	21
935	306	20
936	307	20
937	307	20
938	307	19
939	307	19
940	307	19
941	308	18
942	308	18
943	308	18
944	308	17
945	309	17
946	309	17
947	309	16
948	309	16
949	309	16
950	310	15
951	310	15
952	310	15
953	310	14
954	310	14
955	311	14
956	311	13
957	311	13
958	311	13
959	311	12
960	312	12
961	312	12
962	312	12
963	312	11
964	313	11
965	313	11
966	313	10
967	313	10
968	313	10
969	314	9
970	314	9
971	314	9
972	314	8
973	314	8
974	315	8
975	315	7
976	315	7
977	315	7
978	315	6
979	316	6
980	316	6
981	316	5
982	316	5
983	316	5
984	317	4
985	317	4
986	317	4
987	317	3
988	317	3
989	318	3
990	318	2
991	318	2
992	318	2
993	318	1
994	319	1
995	319	1
996	319	0
997	319	0
998	319	0
999	320	0
